Code,Outre-Mer,Libellé,Population légale 2016,Densité de population (historique depuis 1876) 2015,Taux de pauvreté 2015
200018653,Outre-Mer,CA Cap Excellence,101163,791.8,N/A - résultat non disponible
200041507,Outre-Mer,CA La Riviera du Levant,65471,321.6,N/A - résultat non disponible
200041788,Outre-Mer,CA du Pays Nord Martinique,101863,188.2,35.9
200044691,Outre-Mer,CA du Nord Grande Terre,58267,180.6,N/A - résultat non disponible
200050532,Outre-Mer,CC de Petite-Terre,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
200059871,Outre-Mer,CC du Centre-Ouest,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
200060457,Outre-Mer,CA de Dembeni / Mamoudzou,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
200060465,Outre-Mer,CC du Nord de Mayotte,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
200060473,Outre-Mer,CC du Sud,N/A - résultat non disponible,N/A - résultat non disponible,N/A - résultat non disponible
249710047,Outre-Mer,CC de Marie-Galante,10867,69.4,N/A - résultat non disponible
249710062,Outre-mer,CA du Nord Basse-Terre,78179,168,N/A - résultat non disponible
249710070,Outre-Mer,CA Grand Sud Caraïbe,80163,234.9,N/A - résultat non disponible
249720053,Outre-Mer,CA de l'Espace Sud de la Martinique,117168,290.4,30.9
249720061,Outre-Mer,CA du Centre de la Martinique,157449,929.6,27.5
249730037,Outre-Mer,CC de l'Ouest Guyanais,92995,2.2,N/A - résultat non disponible
249730045,Outre-Mer,CA du Centre Littoral,137964,25.9,N/A - résultat non disponible
249730052,Outre-Mer,CC de l'Est Guyanais,6956,0.3,N/A - résultat non disponible
249740077,Outre-Mer,CA Civis (Communauté Intercommunale des Villes Solidaires),180729,477.5,42.9
249740085,Outre-Mer,CA du Sud,127041,222.8,44.2
249740093,Outre-Mer,CA Intercommunale de la Réunion Est (Cirest),126777,172,47.1
249740101,Outre-Mer,CA Territoire de la Côte Ouest (Tco),214073,399.8,37.1
249740119,Outre-Mer,CA Intercommunale du Nord de la Réunion (Cinor),204304,705.2,34.9
200027548,Outre-Mer,CC des Savanes,31437,2.6,N/A - résultat non disponible
200000172,,CC Faucigny-Glières,26485,198.3,9
200000438,,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,35127,106.5,8.7
200000545,,CC des Portes de Romilly-sur-Seine,18606,178.2,22.5
200000628,,CC Rhône Lez Provence,24103,160.6,21.5
200000800,,CC Coeur de Sologne,10609,31.4,12
200000925,,CC de la Plaine Dijonnaise,22067,107.8,7
200000933,,CC Sauldre et Sologne,13971,16.2,13.7
200004802,,CC du Pays de Fayence,27684,68.5,15.4
200005932,,CC des Portes de Sologne,15421,37,7.2
200005957,,CC de la Région de Rambervillers,13283,40.9,20.7
200006682,,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",52379,93.8,10.7
200006716,,CC du Nogentais,16821,57,14
200006930,,CC du Haut-Allier,5189,18.4,17
200006971,,CC du Perche,18221,58.5,14.2
200007052,,CC de la Marche Berrichonne,5727,20.2,18.3
200007177,,CC Pays de Nérondes,4943,20,16.6
200010650,,CA du Grand Dole,54171,126.8,13.3
200010700,,CA Caux Seine Agglo,77114,133.8,12.3
200011773,,CA Annemasse-les Voirons-Agglomération,89099,1141.1,15.6
200011781,,CC Portes du Berry entre Loire et Val d'Aubois,9896,34.6,13.8
200012060,,CC Petite Montagne,6655,20.8,12.1
200013050,,CC Sauer-Pechelbronn,17391,87.9,7.1
200015162,,CC de l'Oriente,6089,13.1,30.2
200016905,,CC du Pays de Lamastre,6633,30,20.1
200017341,,CC Lodévois et Larzac,14563,26.2,25
200017846,,CA Étampois Sud-Essonne,53608,110.7,13.2
200018083,,CC de Desvres-Samer,22852,92.4,15.1
200018166,,CC Le Grésivaudan,101100,149.1,5.6
200018406,,CC du Romorantinais et du Monestois,33369,72.4,15.5
200018521,,CC du Val de Bouzanne,6033,21.9,15.6
200022986,,CC du Grand Pic Saint-Loup,47600,82.2,7.4
200023075,,CC du Pays de Maîche,18686,48.7,7.3
200023125,,CC Les Portes Briardes entre Villes et Forêts,46199,684.7,8.4
200023240,,CC Pays de Nemours,29929,134.4,14.4
200023299,,CC Coeur de Tarentaise,9167,33.5,13.4
200023307,,CA du Grand Villeneuvois,47909,135.2,18.7
200023372,,CC de la Vallée de Chamonix-Mont-Blanc,13038,60.4,13.3
200023414,,Métropole Rouen Normandie,490001,737.3,16.7
200023620,,CC de la Gascogne Toulousaine,21384,88.5,8
200023737,,CA du Grand Cahors,40775,68.6,14.6
200023778,,CC du Pays de Saint-Gilles-Croix-de-Vie,48056,163.6,8.5
200023794,,CC de Blaye,20343,114.7,14.6
200023919,,CC Gâtinais Val de Loing,18857,56.2,12.6
200026573,,CC Haut-Jura Saint-Claude,21156,56.8,14.1
200027027,,CC Arc Sud Bretagne,27221,76.5,9.8
200027076,,CC Arnon Boischaut Cher,8180,21.7,12.8
200027100,,CC Méditerranée Porte des Maures,43149,99.1,13.2
200027183,,CU Perpignan Méditerranée Métropole,268581,432.8,22.5
200027217,,CC Sarlat-Périgord Noir,16152,71.1,14.8
200027308,,CC d'Auberive Vingeanne et Montsaugeonnais,8440,11.1,12
200029734,,CC des 4B Sud Charente,20071,31.9,15.6
200029999,,CC Rives de l'Ain - Pays du Cerdon,14449,83.9,10.6
200030195,,Métropole Nice Côte d'Azur,538769,367.4,17.6
200030385,,CA de Blois Agglopolys,105373,133.1,14.7
200030435,,CC d'Aire-sur-l'Adour,12868,42.7,13.8
200030526,,CC du Ried de Marckolsheim,20134,108.6,8.6
200030633,,CC du Caudrésis et du Catésis,64906,175.8,23.4
200030658,,CC du Trièves,10044,15.8,11.7
200030674,,CA Val de Garonne Agglomération,60229,90.2,17.5
200032514,,CC Berry-Loire-Vauvise,5647,20.6,15.7
200033025,,CA de Bar-le-Duc - Sud Meuse,35222,89.2,14.3
200033090,,CC Plaines et Monts de France,24372,166.8,5
200033116,,CC Cluses-Arve et Montagnes,45873,224.7,12.2
200033173,,CC de la Haute Vallée de Chevreuse,25177,299.4,5
200033181,,CA Chartres Métropole,136375,158.9,11.3
200033207,,CC Vierzon-Sologne-Berry,31845,124.5,21.7
200033298,,CC des Coëvrons,27555,35.3,12.7
200033579,,CU d'Arras,107608,350.8,16
200033827,,CC de Fium'orbu Castellu,12924,20.2,23
200033868,,CC des Ballons des Hautes-Vosges,15306,79,15.8
200034023,,CC Tarn-Agout,31122,106,10.9
200034031,,CC des Monts d'Alban et du Villefranchois,6356,18.6,17.2
200034049,,CC Centre Tarn,10995,32.8,15.5
200034056,,CC du Lautrécois et du Pays d'Agout,14536,36.6,13
200034064,,CC du Cordais et du Causse (4 C),4610,18.3,25.6
200034098,,CC des Montagnes du Giffre,12079,34.1,7.2
200034130,,CC Gally Mauldre,21844,230.1,5
200034197,,CC de Montaigne Montravel et Gurson,12033,46,18.7
200034205,,CC de la Costa Verde,10212,53.7,26.8
200034270,,CC du Pays de Barr,24063,126.7,8.9
200034379,,CC Pays d'Uzès,28213,63,18.1
200034411,,CC du Piémont Cévenol,21558,47.4,20.3
200034601,,CC Causses Aigoual Cévennes,5559,11.7,26.4
200034635,,CC du Kochersberg,24985,185.1,5
200034692,,CA du Gard Rhodanien,73922,116.1,16.9
200034700,,CA Durance-Lubéron-Verdon Agglomération,61520,73,15.5
200034718,,"CC de Vitry, Champagne et Der",24988,49.1,17.1
200034726,,CC Bastides de Lomagne,11144,26.2,12.9
200034825,,CA du Grand Guéret,29213,61.3,13.8
200034833,,CC des Bastides Dordogne-Périgord,18803,28.5,17
200034874,,CC Côtes de Meuse Woëvre,6011,14.3,15.2
200034882,,CC Pays du Mont-Blanc,43907,117.7,8.6
200034957,,CC du Frontonnais,25885,158.6,8.1
200035087,,CA Terre de Provence,58855,221.4,16
200035103,,CC de la Vallée de la Haute-Sarthe,7853,28.6,15.5
200035111,,CC des Sources de l'Orne,12076,33.3,15.2
200035129,,CC de Cèze Cévennes,19219,61.1,25.2
200035137,,CC Marche Occitane - Val d'Anglin,6838,13.8,19.9
200035202,,CC Charlieu-Belmont,23363,83.7,11.4
200035319,,CA Var Esterel Méditerranée (Cavem),113022,321.7,15.1
200035327,,CC Cazals-Salviac,5332,21.3,19.7
200035442,,CC du Sud-Artois,27589,64.7,15.2
200035459,,CA d'Agen,96660,201.6,15.1
200035533,,CC du Grand Saint-Émilionnais,14738,63.1,12.5
200035541,,CC des Landes d'Armagnac,10886,10.2,14
200035632,,CC Armagnac Adour,6821,22.9,16.8
200035665,,CA Seine Eure,71424,207.6,15.6
200035707,,CC Piège Lauragais Malepère,15697,33.3,18.7
200035715,,CA Carcassonne Agglo,111452,106.1,21.9
200035723,,CC Ventoux Sud,9411,23.5,20.6
200035731,,CA Roannais Agglomération,100587,145.7,14.7
200035756,,CC Astarac Arros en Gascogne,7321,19.4,15.8
200035764,,CC de la Beauce Loirétaine,16649,41.5,6.5
200035772,,CC du Pays du Saintois,14481,41.6,8.3
200035814,,CA Flers Agglo,54255,95.9,15.1
200035848,,CC du Châtillonnais en Berry,6094,22.1,15.6
200035855,,CC Castelnaudary Lauragais Audois,26250,53.5,17.1
200035863,,"CC Région Lézignanaise, Corbières et Minervois",33209,40.7,23.5
200035970,,CC Vexin Centre,24918,102.5,5.2
200036069,,CC du Pays de Mortagne-au-Perche,13918,35.1,15.3
200036077,,CC du Golfe de Saint-Tropez,57448,133.9,15.7
200036135,,CC Coeur de France,18673,49.7,16.3
200036150,,CC des Hauts du Val de Saône,8694,17.8,19.2
200036465,,CC de Thann-Cernay,37806,239.8,11.7
200036473,,CA de Saintes,59716,125.3,13.8
200036499,,CC de Marana-Golo,23720,138.9,18.5
200036523,,CC des Bastides en Haut-Agenais Périgord,17110,25.4,17.1
200036549,,CC Val de Gray,20535,41.3,17
200036572,,CC Porte d'Aquitaine en Pays de Serres,5316,31.6,15.5
200037059,,CC de la Haute Somme (Combles - Péronne - Roisel),27655,60.1,19.4
200037133,,CC du Provinois,34655,54.9,15
200038958,,CC de la Pieve de l'Ornano,12199,18.3,15.5
200038990,,CC de Saint-Méen Montauban,26303,74.4,9.5
200039022,,CA Vitré Communauté,80368,92.1,8
200039055,,CC Ouche et Montagne,10666,33.4,6
200039063,,"CC Forêts, Seine et Suzon",6902,16.1,6.8
200039204,,CC de Lacq-Orthez,53388,73,12
200039519,,CC du Quercy Blanc,7742,18.7,17
200039642,,CC Le Tonnerrois en Bourgogne,16475,21.1,16.8
200039709,,CC du Serein,7497,13.4,14
200039758,,"CC Avallon, Vézelay, Morvan",19217,26.9,15.6
200039808,,CC des Gorges de l'Ardèche,15020,35.9,16.4
200039824,,CC Ardèche des Sources et Volcans,9627,36.3,18.4
200039832,,CC Pays des Vans en Cévennes,9193,27.7,22.6
200039857,,CA du Pays de Grasse,101795,207.9,12.7
200039865,,Metz Métropole,222146,720.8,17.2
200039907,,CC du Sud Messin,16065,63.8,7.1
200039915,,CA Cannes Pays de Lérins,158455,1668.5,16.1
200039931,,CC Alpes d'Azur,9662,10.9,18.8
200039949,,CC Rives de Moselle,51388,405.8,12.5
200040038,,CC Saône Doubs Bresse,12179,38.3,10.2
200040095,,CC Isle Vern Salembre en Périgord,19085,66.8,14.4
200040111,,CC Coeur de Chartreuse,16980,47.5,8.8
200040137,,CC des Lacs de Champagne,9529,21.9,15.4
200040178,,CC de l'Outre-Forêt,16157,134.2,7.9
200040202,,CC Provence Verdon,22109,34.1,16.1
200040210,,CC Lacs et Gorges du Verdon,9067,16.4,19.4
200040244,,CA du Bocage Bressuirais,73449,55.7,12.6
200040251,,CC Bassée-Montois,23467,55.8,9.1
200040277,,CA du Pays de Dreux,115092,108.8,15.7
200040293,,CC du Clunisois,13815,30.8,11.9
200040350,,CC Bugey Sud,33837,53.9,13
200040384,,CC Isle Double Landais,11947,50.5,17.6
200040392,,CA Le Grand Périgueux,103565,104.2,14.1
200040400,,CC du Pays Ribéracois,19769,29,18
200040418,,CC du Pays de Serres en Quercy,8578,19.2,22.7
200040426,,CC du Val de l'Oise,16158,49.6,15.1
200040442,,CA Luberon Monts de Vaucluse,55092,154.8,19.8
200040459,,CA Montélimar Agglomération,64813,173.9,15.8
200040475,,CC Loué - Brûlon - Noyen,18565,40.2,11.8
200040491,,CC Porte de Drômardèche,46656,110.2,14.6
200040509,,CC du Crestois et de Pays de Saillans Coeur de Drôme,15134,63.8,16.7
200040558,,CC Écueillé-Valençay,11306,21.2,15.5
200040566,,CA de l'Ouest Rhodanien,50606,87.6,12.9
200040574,,CC Beaujolais Pierres Dorées,51212,206.6,5.7
200040590,,CA Villefranche Beaujolais Saône,73915,424.2,16.5
200040624,,CC Pays d'Apt-Luberon,29951,47.2,19.6
200040657,,CC de la Matheysine,19088,30,11.9
200040681,,CC Enclave des Papes-Pays de Grignan,22967,62.6,18.5
200040715,,Métropole Grenoble-Alpes-Métropole,443123,816.7,13.7
200040764,,CC du Sud Corse,20848,35.4,22.7
200040772,,CC du Perche et Haut Vendômois,9213,24,11
200040798,,CC Val Vanoise,9199,23.2,9.7
200040814,,CC Briance Sud Haute Vienne,9147,28.1,13.2
200040830,,CC du Pays de Fénelon,9686,30.1,15.6
200040889,,CC de Portes Sud Périgord,8669,30.2,18
200040905,,CC Carmausin-Ségala,29452,60.9,16.7
200040947,,CC de Flandre Intérieure,102169,161.6,11.4
200040954,,CC des Hauts de Flandre,53422,119,11.7
200041010,,CC Coeur de Savoie,36460,109.7,8
200041051,,CC Vallée de la Dordogne et Forêt Bessède,9106,36.3,18.5
200041150,,CC du Terrassonnais en Périgord Noir Thenon Hautefort,22704,39.6,17.8
200041168,,CC de la Vallée de l'Homme,15510,30,19.8
200041283,,CC de la Plaine du Rhin,18414,123.1,7.6
200041317,,CA du Niortais,120806,147.8,11.1
200041325,,CC du Pays Rhénan,36463,223.1,6.7
200041333,,CC de Parthenay-Gâtine,37782,45.2,15.3
200041366,,CC Rhône Crussol,33854,167.3,8.2
200041416,,CC Airvaudais-Val du Thouet,6918,30.8,12.9
200041440,,CC de Domme - Villefranche du Périgord,8705,23.3,19
200041465,,CC Val Eyrieux,12743,25.3,14.5
200041499,,CC Aunis Atlantique,29560,66.5,9.7
200041515,,CC du Bassin de Pont-à-Mousson,40401,153.1,12.5
200041523,,CC de la Haute-Saintonge,67989,39,16.8
200041556,,CC Portes de la Creuse en Marche,6655,19.3,20.2
200041572,,CC Dronne et Belle,11337,22.6,15.2
200041614,,CC Aunis Sud,31496,67.4,12.2
200041622,,CC Ardennes Thiérache,9956,23.4,21.7
200041630,,CA Ardenne Métropole,123082,220.2,21.7
200041689,,CC Vals de Saintonge,52563,37.2,17
200041721,,CC de la Haute Comté,17879,39.8,18.9
200041762,,CA Rochefort Océan,63288,149.9,14.6
200041853,,CC du Pays de Montbozon et du Chanois,6559,27.5,10.1
200041861,,CC du Triangle Vert,11048,29.9,11.8
200041879,,CC Terres de Saône,13343,36.7,11.3
200041887,,CC du Val Marnaysien,14190,46.6,8.6
200041960,,CC Pévèle-Carembault,94663,302.5,8.1
200041994,,CC Haut Val de Sèvre,30203,86.1,10.3
200042000,,CC Bruyères-Vallons des Vosges,15321,70.2,16.7
200042174,,CA Lorient Agglomération,202494,273.2,12.4
200042182,,CC du Mont des Avaloirs,16411,30.1,15.3
200042190,,CA de la Porte du Hainaut,157910,432.6,24.3
200042372,,CC des Coteaux Arrats Gimone,10553,26.1,13.2
200042414,,CC Bresse Revermont 71,9865,34.9,14.3
200042463,,CC de la Montagne Noire,5867,20,23.6
200042497,,CC Dombes Saône Vallée,37603,205.7,6
200042604,,"CC de Granville, Terre et Mer",44464,157.7,11.3
200042620,,CC de la Région de Suippes,7703,16.1,11.7
200042646,,CC Grand Orb CC en Languedoc,20337,44.6,20.3
200042653,,CC Sud-Hérault,17616,55.9,20.1
200042703,,CC de l'Argonne Champenoise,12048,14.6,14.6
200042729,,CC de la Baie du Cotentin,23192,52.4,15.1
200042901,,CC Drôme Sud Provence,41965,143.1,15.2
200042935,,CA Haut - Bugey Agglomération,57271,113.6,17
200042943,,CC du Cap Corse,6804,22.3,19.7
200042992,,CC Perthois-Bocage et Der,5681,19.8,10.4
200043016,,CC Val de Charente,14076,33.8,19.1
200043065,,CC du Val d'Amboise,27961,111.6,11
200043081,,"CC Chinon, Vienne et Loire",23524,67.7,11.8
200043123,,CC Auray Quiberon Terre Atlantique,86301,165.2,10.6
200043156,,CC du Pays Rethélois,29876,36.7,15
200043172,,CA du Bassin de Brive,107831,133.5,12.6
200043263,,CC Coeur de l'Avesnois,30446,73.1,21.1
200043321,,CC du Pays de Mormal,48473,103.8,15.6
200043354,,CC de Villedieu Intercom,15736,53.5,15.4
200043396,,CA Maubeuge Val de Sambre,125671,367.8,27.4
200043404,,CC du Sud Avesnois,25782,146.3,29.3
200043438,,CC de la Moivre à la Coole,9600,19.5,5
200043495,,CA du Pays de Laon,42940,141.2,22.6
200043602,,"CC des Albères, de la Côte Vermeille et de l'Illibéris",55283,188.5,17.7
200043628,,CC des Vallées du Clain,26284,69.7,7.2
200043693,,CC Terre Lorraine du Longuyonnais,15567,64.2,13.3
200043776,,CC Pyrénées Audoises,14080,15.4,26.7
200043974,,CC du Sud Gironde,38135,45.7,14.2
200043982,,CC du Bazadais,15660,25.7,15.4
200043990,,CC Vallons de Haute-Bretagne Communauté,43278,85.1,8.3
200044014,,CC Creuse Grand Sud,12128,20.1,20.3
200044030,,CC des Sept Vallées,29764,59.9,19.1
200044048,,CC Osartis Marquion,41920,126.3,11.2
200044253,,CC du Bassin de Joinville en Champagne,12866,18.8,19.2
200044394,,CC du Réolais en Sud Gironde,23660,72.3,18.3
200044469,,CC du Pays de Mirepoix,10519,31.3,19.5
200044618,,CA du Douaisis (C.A.D.),148910,633.1,20.2
200046977,,Métropole de LYON,1381249,2568.4,15.7
200048551,,CC du Pays de Craon,28720,44.5,12.5
200049187,,CA du Grand Verdun,28434,95.2,16.9
200049211,,CC Conflent-Canigó,20850,24.8,22.7
200049484,,CC Berry Grand Sud,12039,14.4,21.2
200054781,,Métropole du Grand Paris," 7,026,765.00    "," 8,621.80    ", 18.50    
200054807,,Métropole d'Aix-Marseille-Provence,1873707,593.5,18.5
200055481,,CC Beauce Val de Loire,19940,38.7,10.9
200055655,,CA Roissy Pays de France,350406,1023,22.9
200055887,,CC Mayenne Communauté,36792,59.4,10.5
200056232,,CA Communauté Paris-Saclay,312888,1667.9,9.7
200056380,,CA Plaine Vallée,182034,2448.8,11.9
200057859,,CA Coeur d'Essonne Agglomération,196960,1475.7,11.8
200057958,,CA Paris - Vallée de la Marne,227440,2378.1,14.2
200058360,,CC Entre Beauce et Perche,21236,47,8.3
200058477,,CA Val d'Yerres Val de Seine,177491,2656,12.8
200058485,,CA Val Parisis,272890,3088.6,12
200058519,,CA Saint-Germain Boucles de Seine,334123,2403.5,9
200058782,,CA de Saint-Quentin-en-Yvelines,229369,1913.2,11.6
200059228,,CA Grand Paris Sud Seine Essonne Sénart,351608,1568,19.5
200059392,,CC Bièvre Isère,54249,77.5,10.5
200059400,,CC Porte Océane du Limousin,25637,76,13.2
200059889,,CU Grand Paris Seine et Oise,410596,809.7,14.8
200060010,,CA Mauges Communauté,121088,91.8,8.5
200065563,,CC Normandie-Cabourg-Pays d'Auge,31268,112.8,11.5
200065589,,CC Val Ès Dunes,17901,106.1,9.1
200065597,,CU Caen la Mer,265466,728.4,14.1
200065647,,CA Pays de Montbéliard Agglomération,139989,312.8,16.1
200065787,,CC de Pont-Audemer / Val de Risle,27732,119.6,15.2
200065886,,CA Loire Forez Agglomération Lfa,109047,81.9,10.4
200065894,,CC de Forez-Est,63437,114,9.2
200065928,,CA Lannion-Trégor Communauté,99903,110.7,11.9
200066009,,CA Mulhouse Alsace Agglomération,272712,621.6,18.6
200066017,,CC Lieuvin Pays d'Auge,18579,49.4,14.8
200066025,,CC Pays Rhin - Brisach,33064,100.1,7.3
200066033,,CC Sud Alsace Largue,22272,96.4,7.6
200066041,,CC Sundgau,47521,109.6,6.8
200066058,,CA Saint-Louis Agglomération,78300,289.7,9.4
200066108,,CC Haute Saulx et Perthois-Val d'Ornois,16919,22.6,12.7
200066116,,CC Argonne-Meuse,7252,14.8,16.5
200066124,,CA Gaillac-Graulhet,73228,61.8,16
200066132,,CC du Pays de Stenay et du Val Dunois,9966,23,19.5
200066140,,CC de l'Aire à l'Argonne,6579,9.9,12.9
200066157,,CC de Commercy - Void - Vaucouleurs,22749,32.4,16.7
200066165,,CC Val de Meuse - Voie Sacrée,9145,25.9,11.8
200066173,,CC de Damvillers Spincourt,8347,17,18
200066223,,CC Arize Lèze,10732,28.1,22.3
200066231,,CC des Portes d'Ariège Pyrénées,39464,93.7,17.5
200066280,,CC du Pithiverais,29351,59.9,13.4
200066322,,CC Terres des Confluences,40829,90.2,20.5
200066330,,CC Terres du Haut-Berry,24906,38.1,9.9
200066348,,CC Minervois Saint-Ponais Orb-Jaur,14729,18.7,27.5
200066355,,CA du Bassin de Thau,124469,402.5,18.7
200066363,,CC de la Haute Ariège,7170,6.4,15.4
200066371,,CC Causses et Vallée de la Dordogne,45392,35.2,14.2
200066389,,CA Saint-Lô Agglo,75956,93.1,12
200066405,,CC Roumois Seine,51781,105.4,7.7
200066413,,CC Intercom Bernay Terres de Normandie,55873,60.7,14
200066462,,CC Interco Normandie Sud Eure,39134,48.4,15.5
200066512,,CC Élan Limousin Avenir Nature,27888,45.6,11
200066520,,CC Ouest Limousin,11530,27.4,18.1
200066553,,CC des Monts de Lacaune et de la Montagne du Haut Languedoc,7925,10.1,17.8
200066561,,CC Sidobre Vals et Plateaux,12849,27.2,14.2
200066587,,CC des Monts du Lyonnais,35093,88.1,9.7
200066603,,CC du Pays de Lubersac-Pompadour,7619,30,14.8
200066637,,CC Hautes Terres,13022,13.2,18
200066645,,CC Vézère-Monédières-Millesources,5042,9.9,17.1
200066652,,CC Grand Sud Tarn et Garonne,42339,92.2,12.3
200066660,,CC de Saint-Flour,23688,17.4,15.4
200066678,,CC de la Châtaigneraie Cantalienne,21402,20.2,16
200066710,,CC Cingal-Suisse Normande,24064,61.6,9.8
200066728,,CC Vallées de l'Orne et de l'Odon,25007,190,5.5
200066744,,CC Haute-Corrèze Communauté,33652,18.6,14.2
200066751,,CC Xaintrie Val'dordogne,11611,17.9,15.2
200066769,,CC Midi Corrézien,13130,33.9,13.3
200066777,,CC Ploërmel Communauté,42168,52.5,12.8
200066785,,CC de l'Oust à Brocéliande Communauté,39077,61.2,11.1
200066793,,CA du Grand Annecy,200322,385.7,8
200066801,,CC Isigny-Omaha Intercom,26835,46.4,14.4
200066819,,CC du Volvestre,29757,72.4,13.4
200066827,,CC du Pays de Honfleur-Beuzeville,29523,127.8,12.7
200066835,,CC de Sézanne-Sud Ouest Marnais,21708,28.7,12.8
200066850,,CC des Paysages de la Champagne,21503,36.5,10.3
200066868,,CC Presqu'île de Crozon-Aulne Maritime,23112,82.7,10.7
200066876,,CA de Châlons-en-Champagne,80565,99.8,14.9
200066884,,CC Quercy Vert-Aveyron,21945,64.7,13.5
200066892,,CC de Vendeuvre-Soulaines,7790,17.5,13
200066918,,CA Alès Agglomération,128969,134.8,22.6
200066926,,CA Grand Auch Coeur de Gascogne,38418,64.3,13.5
200066975,,CC Senlis Sud Oise,24043,119.3,7.1
200067023,,CC Coutances Mer et Bocage,47918,75.1,13.3
200067031,,CC Côte Ouest Centre Manche,22318,46,15.7
200067049,,CC Spelunca-Liamone,7591,8.3,19.8
200067064,,CC Decazeville Communauté,18950,102.6,16.8
200067072,,CC Haut-Léon Communauté,31517,128,11.8
200067080,,"CC Chablis, Villages et Terroirs",15203,25.9,11.8
200067106,,CA du Pays Basque,306306,102.1,12
200067114,,CA de l'Auxerrois,68187,156.6,13.7
200067122,,CC Coteaux et Plaines du Pays Lafrançaisain,10986,49.8,15.6
200067130,,CC de Puisaye-Forterre,35068,20.2,15.8
200067155,,"CC Saint Affricain, Roquefort, Sept Vallons",13787,32.1,15.7
200067163,,"CC Monts, Rance et Rougier",6336,9.7,19
200067171,,"CC Aubrac, Carladez et Viadène",10279,12,17.8
200067189,,CC Creuse Sud Ouest,13835,15.3,21.2
200067197,,CC Monts d'Arrée Communauté,8072,19.9,19.5
200067205,,CA du Cotentin,180794,126,12.3
200067213,,CU du Grand Reims,294674,205.8,16.2
200067221,,CC Centre Morbihan Communauté,42645,63.5,11
200067239,,CC des Luys en Béarn,28191,53.4,9.4
200067247,,CC Pleyben-Châteaulin-Porzay,23015,54.3,11.2
200067254,,CA Pau Béarn Pyrénées,162012,471.1,13.4
200067262,,CC du Haut-Béarn,32377,30.4,13
200067288,,CC du Béarn des Gaves,17593,39.9,14.1
200067296,,CC du Nord Est Béarn,33968,58.3,9.4
200067304,,CC Serein et Armance,24315,52.2,13.7
200067320,,CC Serre-Ponçon Val d'Avance,7516,30.4,13.5
200067346,,CA Pornic Agglo Pays de Retz,56370,124.5,8.3
200067361,,CC Grand-Figeac,43499,33.8,14.3
200067379,,CC Côtes de Champagne et Val de Saulx,11998,26.8,13.1
200067429,,CC Haut Nivernais-Val d'Yonne,12655,25.5,16.7
200067437,,CA Provence-Alpes-Agglomération,47298,30.1,16.2
200067445,,CC Buëch-Dévoluy,9306,12.9,14.1
