Code,Outre-Mer,Libellé,Population légale 2016,Densité de population (historique depuis 1876) 2015,Taux de pauvreté 2015
200067452,,CC du Guillestrois et du Queyras,7987,9.6,13.4
200067460,,CC Loudéac Communauté - Bretagne Centre,51352,44.1,13.4
200067478,,CC Comtal Lot et Truyère,19165,29.8,12.3
200067486,,CC Bouzonvillois-Trois Frontières,25131,74,12.4
200067502,,CA Saint-Avold Synergie,53373,154.8,16.7
200067510,,CC Monts et Vallées Ouest Creuse,25119,25.2,19
200067544,,CC Creuse Confluence,16893,17.3,19.5
200067551,,CA Thonon Agglomération,86983,359.3,9
200067593,,"CC Chénérailles, Auzances/Bellegarde et Haut Pays Marchois",13723,14.3,22.1
200067627,,CC Billom Communauté,25512,92.3,8.9
200067635,,CA Clisson Sèvre et Maine Agglo,54124,172.5,6.1
200067643,,"CC Meurthe, Mortagne, Moselle",16803,62,9.9
200067650,,CC Houve-Pays Boulageois,23221,92.1,10
200067668,,"CC de la Cléry, du Betz et de l'Ouanne",20509,41.4,13.5
200067676,,CC Canaux et Forêts en Gâtinais,27870,37.2,12.5
200067684,,"CA Épernay, Coteaux et Plaine de Champagne",48451,82.8,13.2
200067692,,CC Tannay-Brinon-Corbigny,9902,13.1,16.8
200067700,,CC Sud Nivernais,21405,41.1,14.3
200067742,,CC Serre-Ponçon,16105,26.1,14.2
200067759,,CC Vallées et Plateau d'Ardenne,25375,61.8,17.8
200067767,,CC du Royans-Vercors,9671,20.4,14
200067783,,CC de Hanau-la Petite Pierre,27032,75.8,10
200067791,,CA Pays Foix-Varilhes,31813,71.6,14.1
200067817,,CC Saône-Beaujolais,43868,80.8,10.5
200067825,,CA Gap-Tallard-Durance,50322,142.7,13.6
200067841,,CC de l'Alsace Bossue,24763,65.4,11.6
200067866,,CC Sèvre et Loire,46817,168.4,6.5
200067874,,CA de Haguenau,95665,241.3,10.6
200067882,,CC Bazois Loire Morvan,15671,13.1,18
200067890,,CC Morvan Sommets et Grands Lacs,12620,13.3,18.6
200067908,,CC Amognes Coeur du Nivernais,8687,13.5,14.8
200067916,,"CC Loire, Vignobles et Nohain",25755,36.5,14.7
200067924,,CC du Canton d'Erstein,47740,177.9,7.9
200067932,,CA Golfe du Morbihan - Vannes Agglomération,166661,205.3,10.3
200067940,,CC Couserans-Pyrénées,29825,18.1,22.5
200067957,,CC Haut Chemin-Pays de Pange,19083,73.8,6.2
200067965,,CA de la Région de Compiègne et de la Basse Automne,82180,310.2,14.2
200067973,,CC Thelloise,61421,193.9,6.8
200067981,,CA Guingamp-Paimpol Armor-Argoat Agglomération,73703,66.6,14.5
200067999,,CA du Beauvaisis,101874,186.3,17.9
200068005,,CC de l'Oise Picarde,21293,54.2,14
200068047,,CA Creil Sud Oise,86331,1030.8,29.3
200068070,,CC Loue-Lison,25268,37.7,8.4
200068088,,"CC Loire, Nièvre et Bertranges",20441,34.8,13.3
200068096,,CC Champsaur-Valgaudemar,11065,14.4,14.5
200068104,,CA de la Provence Verte,98371,102.1,14.3
200068112,,CC du Pays de Saverne,35633,146.4,10.1
200068120,,CA Quimper Bretagne Occidentale,100412,209.7,11.5
200068146,,CC Sarrebourg Moselle Sud,45459,56.8,12.7
200068229,,CC des Baronnies en Drôme Provençale,21173,19.5,22.1
200068278,,CC Berry Loire Puisaye,18469,34.2,14.7
200068294,,CC des Deux Vallées Vertes,16293,41.9,12.2
200068369,,CC de Mirecourt Dompaire,19318,40.8,14.2
200068377,,CC de la Porte des Vosges Méridionales,29627,113,15.4
200068435,,CC Coeur du Perche,11566,29.9,13.5
200068443,,CC Andaine - Passais,13255,39.7,14.9
200068450,,CC Argentan Intercom,34078,47.7,16.5
200068468,,CC des Pays de l'Aigle,26117,47.8,17.4
200068484,,CC des Causses à l'Aubrac,14536,19.7,13.6
200068500,,CA de Cambrai,82083,200.2,17.9
200068534,,CC Terroir de Caux,37995,77.4,10.2
200068542,,CC Les Balcons du Dauphiné,75807,121.7,8.3
200068559,,CC de l'Ouest Vosgien,23534,32.4,16.9
200068567,,CC Les Vals du Dauphiné,62133,177.4,11.3
200068625,,"CC Alpes-Provence-Verdon ""sources de Lumière""",11403,6.6,21.3
200068641,,CA Le Muretain Agglo,119336,370.5,10
200068658,,"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",45435,49,13
200068666,,CA de Saint-Dizier Der et Blaise,58981,63.9,19.1
200068674,,CA Grand Lac - CA du Lac du Bourget,74316,245.9,9
200068682,,CC Terre d'Eau,18076,43.7,13.1
200068757,,CA d'Épinal,111367,100.1,16.5
200068765,,CC du Sisteronais-Buëch,24859,16.5,19
200068773,,CC des Vosges Côté Sud Ouest,12195,17.8,17
200068781,,CA Valence Romans Agglo,220156,233.2,15.6
200068799,,CC Intercom de la Vire au Noireau,47786,61,14.9
200068807,,CC Lèze Ariège,31317,98.8,10.6
200068815,,CC Coeur de Garonne,34626,60.3,13.4
200068831,,CC Pays Ségali,17924,30.9,12.6
200068856,,CC des Hauts du Perche,8352,21.8,16.4
200068864,,CC de la Mossig et du Vignoble,24511,140.4,7.4
200068872,,CC Éguzon - Argenton - Vallée de la Creuse,19882,43.9,14.3
200068880,,CC Champagne Boischauts,10006,14.2,11.9
200068914,,CC La Rochefoucauld - Porte du Périgord,21881,46.8,13
200068922,,CC du Confluent et des Coteaux de Prayssas,18319,48.1,19
200068930,,CC Fumel Vallée du Lot,24458,54.4,18.7
200068948,,CC Albret Communauté,26307,35.6,15.7
200068955,,CC Anjou Loir et Sarthe,27690,60.8,9.1
200068963,,CC Maine Coeur de Sarthe,21179,112.8,7.6
200068989,,CA Dinan Agglomération,96891,103.2,11
200068997,,CA Arlysère,60768,79.2,11.8
200069003,,CC du Barséquanais en Champagne,19051,23.6,13.2
200069029,,CA des Deux Baies en Montreuillois,66584,163.6,15.3
200069037,,CA du Pays de Saint-Omer,105351,193.5,19.6
200069052,,CA Grand Belfort,105041,402.2,16.9
200069060,,CC des Vosges du Sud,15438,88,8.9
200069086,,CC Leff Armor Communauté,31258,72.8,10.8
200069094,,CC Isle et Crempse-en-Périgord,14299,33.3,18.2
200069102,,CC Randon - Margeride,5364,8.2,17.6
200069110,,CA Chambéry Métropole-Coeur des Bauges,133638,252.4,11.9
200069128,,CC Mont Lozère,5444,7.6,18.1
200069136,,CC des Cévennes Au Mont Lozère,5089,8.3,31.3
200069144,,CC des Hautes Terres de l'Aubrac,5114,9.4,17.6
200069151,,CC Gorges Causses Cévennes,7041,7.8,17.9
200069169,,CC Dômes Sancy Artense,12241,18.4,13.8
200069177,,CC Mond'Arverne Communauté,40101,118.7,6.6
200069185,,CC des Terres d'Apcher-Margeride-Aubrac,10623,24.4,12.9
200069193,,CC de la Dombes,38195,60.1,7.6
200069227,,CC Pays Fort Sancerrois Val de Loire,18747,27.3,12.8
200069235,,CC du Haut Pays du Montreuillois,15770,37.6,21.5
200069250,,CA Troyes Champagne Métropole,170145,190.7,17.3
200069268,,CC Aubrac Lot Causses Tarn,7945,13.5,12.7
200069300,,CA Tarbes-Lourdes-Pyrénées,122365,199.4,15.8
200069383,,CC du Grand Villefranchois,27486,41.1,16.1
200069391,,CC Lamballe Terre et Mer,67297,73.5,10.1
200069409,,CA Saint-Brieuc Armor Agglomération,151517,251.9,11.8
200069417,,CC Pays d'Orthe et Arrigans,23619,60,12.6
200069425,,CA Mont-Saint-Michel-Normandie,87984,57,13.2
200069433,,CC de Vezouze en Piémont,11834,26.7,19.1
200069441,,CC du Pays de Bitche,34531,57.5,11.2
200069458,,CC des Vallées d'Auge et du Merlerault,14973,28.4,19.2
200069482,,CC des Campagnes de l'Artois,33544,60.7,12.5
200069516,,CC Seulles Terre et Mer,16940,86,7.3
200069524,,CC Pré-Bocage Intercom,24779,59.4,10.4
200069532,,CA Lisieux Normandie,74829,79.5,15.7
200069540,,CC Norge et Tille,15790,125.8,5
200069565,,CC des Lacs et Montagnes du Haut-Doubs,15721,36.8,5
200069581,,CC Convergence Garonne,32400,103.1,12.1
200069599,,CC Rurales de l'Entre-deux-Mers,16526,37,15.7
200069615,,CC Bresse Haute Seille,19102,42.1,10.2
200069623,,CC Champagnole Nozeroy Jura,22113,37.6,10.6
200069631,,CC Terres de Chalosse,18231,58.2,12.1
200069649,,CC Chalosse Tursan,26069,44.3,11.8
200069656,,CC Coeur Haute Lande,15557,8.6,14.3
200069664,,CC Meuse Rognon,11102,13.2,14.1
200069672,,CC du Ternois,38395,60.6,20.7
200069698,,CC Mâconnais - Tournugeois,15732,72.5,11.5
200069722,,CC Interrégionale Aumale - Blangy-sur-Bresle,21877,47.5,15.6
200069730,,CC des Quatre Rivières,29708,49.3,14.4
200069748,,CC Val de Gâtine,21473,38.9,12.8
200069755,,CC Mellois-en-Poitou,48168,37.7,14.1
200069763,,CC du Haut-Poitou,41624,59.9,9.7
200069821,,CA Fécamp Caux Littoral Agglomération,39319,190.9,13.3
200069839,,CC de la Côte d'Albâtre,28020,72.4,12.4
200069847,,CC Plateau de Caux-Doudeville-Yerville,21040,83.2,10.2
200069854,,CU du Grand-Poitiers,191791,179.5,14.4
200069912,,CC des Forêts du Perche,7940,25.2,13.1
200069953,,CC des Portes Euréliennes d'Ile-de-France,48424,120.7,6.8
200069961,,CC du Grand Châteaudun,40831,52,14.7
200069995,,CC Médoc Coeur de Presqu'ile,29861,59.9,16.2
200070035,,CC du Civraisien en Poitou,27468,30.9,17.1
200070043,,CC Vienne et Gartempe,39557,20,15.5
200070068,,CC Communauté Bray-Eawy,25302,52.1,14.4
200070092,,CA du Libournais,90791,158.9,15.5
200070100,,CC du Val de Sully,24790,41.8,11.2
200070118,,CC Val de Saône Centre,20296,128,7.2
200070126,,CC Seine et Aube,10148,26.4,10.8
200070142,,CC Lyons Andelle,20870,76.1,10.2
200070159,,CC Coeur de Beauce,24806,25.9,9.4
200070167,,CC Terres de Perche,14934,39.5,13.6
200070183,,CC des Terres du Val de Loire,48336,73,7.8
200070233,,"CC Terres de Montaigu, Cc Montaigu-Rocheservière",48162,125.9,6.9
200070282,,CC Lavalette Tude Dronne,18077,24,18.5
200070290,,CC Pays de l'Audunois et du Bassin de Landres,23307,111,16.3
200070308,,CA Mâconnais Beaujolais Agglomération,77129,256.4,13.2
200070316,,"CC Entre Arroux, Loire et Somme",23051,27,13.1
200070324,,CC du Territoire de Lunéville à Baccarat,41927,93.8,16.2
200070332,,"CC du Pays de Chalindrey, de Vannier Amance et de la Région de Bourbonne-Les-Bains",15638,19.5,14.8
200070340,,CC Haute-Maurienne Vanoise,8666,10.3,11
200070365,,CC Corbières Salanque Méditerranée,21697,39,21.1
200070373,,CC Loir-Lucé-Bercé,24113,45.1,15.2
200070407,,CA Pays d'Issoire,55777,54.3,12.6
200070431,,CC Saint-Marcellin Vercors Isère Communauté,44230,74.2,11.3
200070449,,CC Inter-Caux-Vexin,54382,99.4,6.4
200070464,,CC Coeur de Maurienne Arvan,14756,41.5,9.4
200070506,,CC Pays de Nexon Monts de Chalus,13133,33.3,13
200070514,,CA du Grand Cognac,69775,92.6,11.9
200070530,,CC du Grand Autunois Morvan,36298,29.1,15.1
200070548,,CC La Clayette Chauffailles en Brionnais,15271,52.6,12.5
200070555,,CC de la Veyle,22033,102.9,8.7
200070563,,CC Terres Touloises,44646,96.3,12.5
200070571,,CC Coeur de Berry,18116,54.8,10.6
200070589,,CC de Seille et Grand Couronné,18624,53.7,7.2
200070647,,CA Bergeracoise,60520,104.6,16.9
200070662,,CC Bretagne Porte de Loire Communauté,31876,68.9,10
200070670,,CC du Pays de Dol et de la Baie du Mont-Saint-Michel,23537,73,13.2
200070688,,CC Couesnon Marches de Bretagne,21970,55.2,11.3
200070712,,CC Thiers Dore et Montagne,37460,60.4,17.4
200070720,,CC Médoc Atlantique,25956,24.7,14.5
200070738,,CC Mad et Moselle,20183,43.3,8
200070746,,CA Sarreguemines Confluences,65342,192.8,14.7
200070753,,CA Riom Limagne et Volcans,66628,164.9,8.2
200070761,,CC Ambert Livradois Forez,27606,22.5,15.9
200070779,,CC Brie des Rivières et Châteaux,38925,105.3,5.4
200070787,,CC du Plateau de Lannemezan,17886,41.8,14.4
200070795,,CC du Pays de Trie et du Magnoac,6969,21.1,19.7
200070803,,CC des Coteaux du Val-d'Arros,11265,43.4,11
200070811,,CC Pyrénées Vallées des Gaves,15471,15.6,11.7
200070829,,CC Neste Barousse,7247,23.9,13.6
200070845,,CC Orne Lorraine Confluences,53134,135.3,14.5
200070852,,CC Usses et Rhône,20326,72.6,7.9
200070894,,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,29798,60.4,7
200070902,,CC Auxonne Pontailler Val de Saône,23406,60.8,11.3
200070910,,CC Tille et Venelle,4980,15.9,10.3
200070928,,CC Terre de Picardie,18341,62,17.6
200070936,,CC Ponthieu-Marquenterre,33180,42.3,16.4
200070944,,CC du Vimeu,22955,121.9,15.2
200070951,,CC du Territoire Nord Picardie,31606,58.8,15.6
200070969,,CC Avre Luce Noye,22921,57.8,11
200070977,,CC du Grand Roye,24779,64.4,17.5
200070985,,CC de l'Est de la Somme,20483,77.6,19.2
200070993,,CA de la Baie de Somme,49575,124.9,20.4
200071017,,CC des Terres d'Auxois,15903,20.7,13.5
200071025,,CC Haute-Provence-Pays de Banon,9709,20.1,16
200071033,,CC Jabron-Lure-Vançon-Durance,5266,17.2,14.3
200071041,,CC du Chaourçois et du Val d'Armance,10599,18.1,14
200071058,,CC Les Avant-Monts,26514,74.3,17.4
200071066,,CA de Saint-Dié-Des-Vosges,75669,77.9,17.9
200071074,,CC Les Portes de l'Ile de France,22554,155.9,8.7
200071082,,CA Montluçon Communauté,62414,167.6,17.1
200071116,,CA Ecla (Espace Communautaire Lons Agglomération),34238,187,13.9
200071140,,CA Moulins Communauté,65451,49,13.7
200071157,,CC des Hautes-Vosges,36328,73.2,12.5
200071165,,CA Les Sables d'Olonne Agglomération,51938,297.6,9.5
200071173,,CC du Pays Arnay Liernais,7256,15.5,14.6
200071181,,CC Somme Sud-Ouest,38755,42.5,14.2
200071199,,CC Plaine Limagne,21019,59.2,10.7
200071207,,CC de Pouilly-en-Auxois/Bligny-sur-Ouche,8564,17.3,12.6
200071215,,CC Chavanon Combrailles et Volcans,12762,15.3,16.8
200071223,,CC Nièvre et Somme,28284,90.2,14
200071298,,CC des Terres du Lauragais,39095,62.4,8.5
200071314,,CC Save Garonne et Côteaux de Cadours,33018,87,9.2
200071363,,CA Vichy Communauté,82461,112.5,16
200071371,,CC Bresse et Saône,25162,97.1,8
200071389,,CC Saint-Pourçain Sioule Limagne,33949,37.1,14.3
200071405,,CC Ardèche Rhône Coiron,22346,79.1,16.1
200071413,,CA Privas Centre Ardèche,43606,72.3,14.4
200071454,,CA Evreux Portes de Normandie,111800,169.6,16
200071470,,CC Entr'Allier Besbre et Loire,25151,23.3,16
200071496,,CC du Bocage Bourbonnais,13797,18.9,17.7
200071504,,CC des Collines du Perche Normand,12690,35.4,13.6
200071512,,CC Commentry Montmarault Néris Communauté,26180,36.2,14.9
200071520,,CC Domfront Tinchebray Interco,16155,44.4,14.4
200071538,,CC Terres de Bresse,22184,55.9,10.7
200071546,,CC Sud Retz Atlantique,29286,68,10.2
200071553,,CC Loire Layon Aubance,56223,92.3,7.7
200071579,,CC Bresse Louhannaise Intercom',28446,56,13.7
200071587,,CC Loches Sud Touraine,52070,28.9,13.2
200071595,,"CC Arbois, Poligny, Salins, Coeur du Jura",22036,37.1,12
200071629,,CC Challans-Gois Communauté,46206,103.9,11.2
200071645,,CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,7932,30.5,11.2
200071652,,CC du Pays Fertois et du Bocage Carrougien,5001,21.8,14.1
200071678,,CA du Choletais,103493,131,11
200071751,,CA du Bassin de Bourg-en-Bresse,131727,105.7,11.5
200071769,,CC Picardie des Châteaux,17681,58.7,15.6
200071777,,"CC d'Arcis, Mailly, Ramerupt",11490,19,12.4
200071785,,CA Chauny Tergnier la Fère,55732,145.9,20.9
200071819,,CC du Périgord Nontronnais,15319,27.6,17.7
200071827,,CA du Grand Angoulême,141498,219.6,14.7
200071843,,CC du Vexin Normand,33509,91.7,11.7
200071850,,CC du Pithiverais-Gâtinais,26089,60,11.2
200071868,,CC des Vallées du Haut-Anjou,36126,55.2,10.8
200071876,,CA Saumur Val de Loire,99961,81.4,13.9
200071884,,CC Le Grand Charolais,40144,42.8,13.3
200071892,,CA du Saint-Quentinois,81489,282.1,22.8
200071900,,CC Vendée Grand Littoral,33551,65.8,10.8
200071918,,CC du Pays de Saint-Fulgent - les Essarts,27571,84.5,7.1
200071926,,CC du Limouxin,28466,35.7,21.4
200071934,,CC Pays de Fontenay-Vendée,35161,76.3,14.1
200071942,,CC Haut Limousin en Marche,23435,18.8,19.9
200071967,,CC Pays d'Évian Vallée d'Abondance,40181,122.4,7.7
200071983,,CC Thiérache Sambre et Oise,17060,52.1,25.1
200071991,,CC Retz-en-Valois,29594,56,12.7
200072007,,CC de la Montagne d'Ardèche,4957,7.2,22.8
200072015,,CA Annonay Rhône Agglo,48528,152.6,12.1
200072023,,CC Coeur de Charente,22139,36.8,15.4
200072031,,CA de la Région de Château-Thierry,54092,61.2,14.4
200072049,,CC de Charente Limousine,35630,25.6,18.9
200072056,,CC Porte du Jura,10566,51.1,11.6
200072064,,CC Val-de-Cher-Controis,47912,59.4,12.2
200072072,,CA Territoires Vendômois,54450,52.5,12
200072080,,CC du Pays de Saint-Éloy,16050,23.6,17.5
200072098,,CC Combrailles Sioule et Morge,18705,43.6,9.6
200072106,,CC Adour Madiran,24463,46.9,15.4
200072130,,CA du Pays de Meaux,96291,525.7,15.6
200072304,,CC Vallée de l'Ubaye - Serre-Ponçon,7790,7.7,17.2
200072312,,CA Seine Normandie Agglomération,84701,118.2,12.2
200072320,,CC Val de Gers,10136,19.7,14.6
200072346,,CA du Pays de Fontainebleau,68352,156.5,8.8
200072452,,CA Fougères Agglomération,55391,102.9,11.7
200072460,,"CA de Béthune-Bruay, Artois-Lys Romane",277812,430.2,20.2
200072478,,CC Pays d'Opale,27827,123.1,16.7
200072544,,CC des Deux Morin,26463,67.1,11.3
200072635,,CC Pyrénées Haut Garonnaises,15516,24.5,15.7
200072643,,CC Coeur et Coteaux du Comminges,44182,44.8,18.3
200072650,,CC Touraine Vallée de l'Indre,51878,105.7,7
200072668,,CC Touraine Val de Vienne,25435,37.4,13.4
200072676,,CC Maine Saosnois,28298,46.5,14.2
200072684,,CC Le Gesnois Bilurien,30806,76.5,9.3
200072692,,CC des Vallées de la Braye et de l'Anille,15605,37.8,12.4
200072700,,CC Haute Sarthe Alpes Mancelles,23156,47.4,13
200072718,,CC de la Champagne Conlinoise et du Pays de Sillé,18681,43.7,12.7
200072726,,CC Châteaubriant-Derval,44200,50.4,14.6
200072734,,CC Estuaire et Sillon,38027,122.7,5.9
200072825,,CC Mirebellois et Fontenois,12617,29.6,8.6
200072874,,CC Val Briard,27633,82,5.8
200072882,,CC de Vie et Boulogne,43349,87.6,8.7
200072981,,CC Touraine Ouest Val de Loire,33454,44.1,11.6
200072999,,CC du Grand Langres,21156,30.5,13.9
200073013,,CC Carnelle Pays-De-France,31724,257.3,5.5
200073096,,CA Hermitage-Tournonais-Herbasse-Pays de Saint-Félicien,57085,113.9,11.6
200073104,,CC de l'Ile-Rousse - Balagne,10457,26.7,23.7
200073112,,CC Sud Sarthe,23320,43.4,14.3
200073120,,CC Nebbiu - Conca d'Oro,7192,18.2,21.5
200073138,,CC Pasquale Paoli,6231,6.9,24.6
200073146,,CC Cagire Garonne Salat,17746,34.4,15.7
200073161,,CC Touraine-Est Vallées,39116,181.4,6.7
200073237,,CC de Gâtine et Choisilles - Pays de Racan,21411,42,7.8
200073245,,CC du Bassin d'Aubenas,39708,121,16.7
200073252,,CC de la Castagniccia-Casinca,12433,53.1,26.1
200073260,,CC Sud Vendée Littoral,54824,58.1,12.5
200073344,,CA Rambouillet Territoires,78443,123.4,5.3
200073393,,CC des Rives du Haut-Allier,17143,16.2,18.2
200073401,,CC Mézenc-Loire-Meygal,11024,23.9,12
200073419,,CA du Puy-en-Velay,82657,61.4,13.5
200073427,,CC Marches du Velay-Rochebaron,30399,85.9,9.1
200077014,,CA Vienne Condrieu,89210,210.6,12.5
200077055,,CA Coulommiers Pays de Brie,75370,152,10.6
240100578,,CC du Plateau d'Hauteville,6132,33.6,9.7
240100610,,CC de la Côtière à Montluel,24732,192.9,8
240100750,,CC du Pays de Gex,93027,222.7,12.7
240100800,,CC de Miribel et du Plateau,23507,355.2,7.4
240100883,,CC de la Plaine de l'Ain,77249,108,10
240100891,,CC du Pays Bellegardien (Ccpb),21684,95.9,15
240200444,,CC de la Thiérache du Centre,26531,37,21.2
240200469,,CC du Pays de la Serre,14621,34.2,17.4
240200477,,CA du Soissonnais,52143,287.8,20.7
240200493,,CC du Pays du Vermandois,31298,70.1,19.3
240200501,,CC du Val de l'Aisne,20302,51.5,12.1
240200519,,CC du Canton d'Oulchy-le-Château,5705,24.7,12.6
240200576,,CC de la Champagne Picarde,20940,36.3,13.8
240200584,,CC du Canton de Charly-sur-Marne,15744,66.7,11.3
240200592,,CC du Chemin des Dames,5457,30.2,13.5
240200600,,CC des Trois Rivières,21510,62.2,27.3
240200634,,CC des Portes de la Thiérache,7056,27.8,24.8
240300491,,CC du Pays de Lapalisse,8471,25.3,16.1
240300558,,CC du Pays de Tronçais,7458,15.1,17.5
240300566,,CC du Val de Cher,5542,28.9,12.6
240300657,,CC du Pays d'Huriel,7596,20.3,15.5
240400440,,CC Pays Forcalquier et Montagne de Lure,9698,31.1,19.6
240500439,,CC du Briançonnais,20590,24.9,13
240500462,,CC du Pays des Ecrins,6689,14.5,15.2
240600551,,CA de la Riviera Française,72506,108.6,14.4
240600585,,CA de Sophia Antipolis,175868,364.3,12.7
240600593,,CC du Pays des Paillons,26649,122.4,11.4
240700302,,CC du Pays Beaume-Drobie,8730,31,22
240700617,,CC Val de Ligne,6138,67.6,20.5
240700716,,CC du Val d'Ay,5906,40.2,10.7
240700815,,CC Berg et Coiron,7587,34.4,14.9
240700864,,CC du Rhône aux Gorges de l'Ardèche,18955,72.5,17.9
240800821,,"CC Ardenne, Rives de Meuse",27333,100.3,20.5
240800847,,CC des Portes du Luxembourg,20384,38.9,18.3
240800862,,CC des Crêtes Préardennaises,21968,21.6,15.6
240800920,,CC de l'Argonne Ardennaise,17397,14.6,17.6
240900431,,CC du Pays de Tarascon,8498,38.9,18.2
240900464,,CC du Pays d'Olmes,15046,46.1,21.3
241000223,,"CC Forêts, Lacs, Terres en Champagne",6894,21.4,9.3
241000405,,CC de la Région de Bar-sur-Aube,11440,32.7,14.7
241000447,,CC du Pays d'Othe,7905,24.9,13.9
241000488,,CC de l'Orvin et de l'Ardusson,8492,19.4,10.4
241100593,,CA Le Grand Narbonne,127530,150,20.6
241200187,,CA Rodez Agglomération,55345,269.6,11.3
241200542,,CC du Réquistanais,5376,17.5,20
241200567,,CC de Millau Grands Causses,29820,58.3,14.8
241200625,,CC du Pays Rignacois,5492,33.9,12.3
241200641,,CC Conques-Marcillac,11855,28.3,12.6
241200658,,CC du Pays de Salars,7849,29.6,11.1
241200674,,CC du Plateau de Montbazens,6208,33,13.4
241200765,,CC de Lévézou Pareloup,5426,11.4,19.4
241200807,,CC Aveyron Bas Ségala Viaur,5623,21.5,17.7
241200906,,CC Larzac et Vallées,5403,8.2,21
241200914,,CC de la Muse et des Raspes du Tarn,5485,12.3,20.8
241300375,,CC Vallée des Baux-Alpilles (Cc Vba),27649,86.8,14.2
241300417,,CA d'Arles-Crau-Camargue-Montagnette,85180,59.5,22.4
241400415,,CC Coeur Côte Fleurie,20997,179.4,14.2
241400514,,CC du Pays de Falaise,28224,57.9,13.5
241400555,,CC de Bayeux Intercom,30121,151.6,11.5
241400860,,CC Coeur de Nacre,23878,394.6,8.7
241400878,,CC Blangy-Pont-l'Evêque Intercom,19231,59.7,11.1
241500230,,CA du Bassin d'Aurillac,53535,108.3,11.3
241500255,,CC du Pays Gentiane,5448,15.2,16.8
241500271,,CC du Pays de Mauriac,6792,30.3,14.7
241501055,,CC Sumène - Artense,8486,26.2,15.1
241501089,,CC Cère et Goul en Carladès,4936,20.9,13.4
241501139,,CC du Pays de Salers,8616,13.5,17.6
241600303,,CC du Rouillacais,10141,35.3,14.4
241700434,,CA de la Rochelle,168692,512.8,12.3
241700459,,CC de l'Ile de Ré,17455,206.3,9.8
241700517,,CC Charente-Arnoult-Coeur de Saintonge,17241,63.2,12.9
241700624,,CC de l'Ile d'Oléron,22324,127.3,12.9
241700632,,CC de Gémozac et de la Saintonge Viticole,14187,53.2,14.8
241700640,,CA Royan Atlantique,82277,135.9,12.5
241700699,,CC du Bassin de Marennes,15403,84.6,14.3
241800325,,CC Les Villages de la Forêt,5238,18.3,10.5
241800374,,CC La Septaine,10757,27.7,10.1
241800424,,CC Le Dunois,7769,23.3,12
241800432,,CC Les Trois Provinces,5237,19.6,19.7
241800457,,CC Fercher Pays Florentais,11745,50.9,12.5
241800507,,CA Bourges Plus,96733,247.2,15.2
241900133,,CC de Ventadour - Egletons - Monédières,10215,21.7,16.3
241927201,,CA Tulle Agglo,44358,51,11.4
241927243,,CC du Pays d'Uzerche,9730,29.1,13.9
242000354,,CA de Bastia,58427,852.6,20.4
242000495,,CC de l'Alta Rocca,8467,12.5,22.5
242000503,,CC Celavu-Prunelli,8580,22.2,13.1
242010056,,CA du Pays Ajaccien,85103,312.5,14.8
242010130,,CC du Sartenais Valinco,11515,21.8,22.6
242020071,,CC du Centre Corse,9736,26.8,20.3
242020105,,CC de Calvi Balagne,11927,21,22.5
